id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,professional_roles,accept_incomplete_resumes,experience,employment,adv_response_url,is_adv_vacancy,adv_context,show_logo_in_search,branding
103106154,False,Clerk,,False,False,"{'id': '159', 'name': 'Астана', 'url': 'https://api.hh.ru/areas/159'}","{'from': 242386, 'to': None, 'currency': 'KZT', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Астана', 'street': 'микрорайон Самал', 'building': '12', 'lat': 51.153337, 'lng': 71.42918, 'description': None, 'raw': 'Астана, микрорайон Самал, 12', 'metro': None, 'metro_stations': [], 'id': '11871650'}",,,2024-07-02T09:21:09+0300,2024-07-02T09:21:09+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=103106154,,https://api.hh.ru/vacancies/103106154?host=hh.ru,https://hh.ru/vacancy/103106154,[],"{'id': '5490592', 'name': 'Посольство Королевства Тайланд в Республике Казахстан', 'url': 'https://api.hh.ru/employers/5490592', 'alternate_url': 'https://hh.ru/employer/5490592', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5490592', 'accredited_it_employer': False, 'trusted': True}","{'requirement': '2) Fluent in English, Russian and Kazakh languages in all <highlighttext>skills</highlighttext>. 3) Competent in basic computer programmes such as Microsoft...', 'responsibility': 'The Royal Thai Embassy wishes to announce the recruitment of the position of clerk. The position, qualifications, and job descriptions...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '93', 'name': 'Переводчик'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,,
102966853,False,Site Engineer,,False,False,"{'id': '2759', 'name': 'Ташкент', 'url': 'https://api.hh.ru/areas/2759'}","{'from': None, 'to': 3000, 'currency': 'USD', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2024-06-29T13:17:41+0300,2024-06-29T13:17:41+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=102966853,,https://api.hh.ru/vacancies/102966853?host=hh.ru,https://hh.ru/vacancy/102966853,[],"{'id': '11144174', 'name': 'ENGINEER HUNTERS', 'url': 'https://api.hh.ru/employers/11144174', 'alternate_url': 'https://hh.ru/employer/11144174', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6805038.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/1296188.jpg', '240': 'https://img.hhcdn.ru/employer-logo/6805039.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11144174', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'The ability to work with multiple discipline projects. Strong written and verbal communication <highlighttext>skills</highlighttext>. Knowledge of applicable codes, policies, standards...', 'responsibility': 'Under the supervision of the Construction Director, responsible for the overall project control management of the site activities. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '30', 'name': 'Главный инженер проекта'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,,
102966852,False,Site Engineer,,False,False,"{'id': '2789', 'name': 'Термез', 'url': 'https://api.hh.ru/areas/2789'}","{'from': None, 'to': 3000, 'currency': 'USD', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2024-06-29T13:17:41+0300,2024-06-29T13:17:41+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=102966852,,https://api.hh.ru/vacancies/102966852?host=hh.ru,https://hh.ru/vacancy/102966852,[],"{'id': '11144174', 'name': 'ENGINEER HUNTERS', 'url': 'https://api.hh.ru/employers/11144174', 'alternate_url': 'https://hh.ru/employer/11144174', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6805038.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/1296188.jpg', '240': 'https://img.hhcdn.ru/employer-logo/6805039.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11144174', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'The ability to work with multiple discipline projects. Strong written and verbal communication <highlighttext>skills</highlighttext>. Knowledge of applicable codes, policies, standards...', 'responsibility': 'Under the supervision of the Construction Director, responsible for the overall project control management of the site activities. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '30', 'name': 'Главный инженер проекта'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,,
103376230,False,Administrative Assistant,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': None, 'to': 175000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': '2-й Казачий переулок', 'building': '7с1', 'lat': 55.733609, 'lng': 37.622082, 'description': None, 'raw': 'Москва, 2-й Казачий переулок, 7с1', 'metro': None, 'metro_stations': [], 'id': '702329'}",,,2024-07-05T16:49:52+0300,2024-07-05T16:49:52+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=103376230,,https://api.hh.ru/vacancies/103376230?host=hh.ru,https://hh.ru/vacancy/103376230,[],"{'id': '2523375', 'name': 'Посольство Республики Намибии в РФ', 'url': 'https://api.hh.ru/employers/2523375', 'alternate_url': 'https://hh.ru/employer/2523375', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/1871655.png', '90': 'https://img.hhcdn.ru/employer-logo/1871654.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/357348.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2523375', 'accredited_it_employer': False, 'trusted': True}","{'requirement': '...and Minute Taking <highlighttext>Skills</highlighttext>. Able to work under pressure and tight deadlines. Excellent Communication and Interpersonal <highlighttext>Skills</highlighttext>. Effective Team player. ', 'responsibility': 'Translating of routine correspondence to and from the Russian language to English. Secretarial duties including, but not limited to arranging...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '93', 'name': 'Переводчик'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,,
100822418,False,Junior _ Finance specialist ( office ),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': None, 'to': 130000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'проспект Мира', 'building': '95', 'lat': 55.807602, 'lng': 37.635422, 'description': None, 'raw': 'Москва, проспект Мира, 95', 'metro': {'station_name': 'Алексеевская', 'line_name': 'Калужско-Рижская', 'station_id': '6.8', 'line_id': '6', 'lat': 55.807794, 'lng': 37.638699}, 'metro_stations': [{'station_name': 'Алексеевская', 'line_name': 'Калужско-Рижская', 'station_id': '6.8', 'line_id': '6', 'lat': 55.807794, 'lng': 37.638699}], 'id': '12364405'}",,,2024-06-28T10:44:43+0300,2024-06-28T10:44:43+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=100822418,,https://api.hh.ru/vacancies/100822418?host=hh.ru,https://hh.ru/vacancy/100822418,[],"{'id': '5421620', 'name': 'LLC FINTERNA', 'url': 'https://api.hh.ru/employers/5421620', 'alternate_url': 'https://hh.ru/employer/5421620', 'logo_urls': {'240': 'https://img.hhcdn.ru/employer-logo/3951224.png', '90': 'https://img.hhcdn.ru/employer-logo/3951223.png', 'original': 'https://img.hhcdn.ru/employer-logo-original/877587.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5421620', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Basic knowledge of data analysis and forecasting methods. Ability to strategize and solve problems. Excellent communication and people <highlighttext>skills</highlighttext>. ', 'responsibility': ""Processing and controling payments. Support Financial manager in performing risk management by analyzing the organization's liabilities. Support in cash...""}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],True,"[{'id': '142', 'name': 'Экономист'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,,
103366478,False,Procurement Specialist,,False,False,"{'id': '2759', 'name': 'Ташкент', 'url': 'https://api.hh.ru/areas/2759'}","{'from': 2000, 'to': 2400, 'currency': 'USD', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2024-07-05T14:41:22+0300,2024-07-05T14:41:22+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=103366478,,https://api.hh.ru/vacancies/103366478?host=hh.ru,https://hh.ru/vacancy/103366478,[],"{'id': '1124', 'name': 'Fersol', 'url': 'https://api.hh.ru/employers/1124', 'alternate_url': 'https://hh.ru/employer/1124', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1002135.jpg', '90': 'https://img.hhcdn.ru/employer-logo/5629320.jpeg', '240': 'https://img.hhcdn.ru/employer-logo/5629321.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1124', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Strong math <highlighttext>skills</highlighttext>. Excellent verbal and written communication <highlighttext>skills</highlighttext>. Strong interpersonal <highlighttext>skills</highlighttext>. Strong negotiation <highlighttext>skills</highlighttext>. Strong organizational <highlighttext>skills</highlighttext>. ', 'responsibility': 'Managing the procurement of products and services. Managing and maintaining contracts with vendors. Negotiating and drafting contract terms and conditions. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '151', 'name': 'Специалист по сертификации'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,,
96452967,False,HR-аналитик,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 190000, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2024-07-01T13:16:38+0300,2024-07-01T13:16:38+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=96452967,,https://api.hh.ru/vacancies/96452967?host=hh.ru,https://hh.ru/vacancy/96452967,[],"{'id': '162', 'name': 'JTI', 'url': 'https://api.hh.ru/employers/162', 'alternate_url': 'https://hh.ru/employer/162', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/233647.png', '90': 'https://img.hhcdn.ru/employer-logo/979502.png', '240': 'https://img.hhcdn.ru/employer-logo/979503.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=162', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Имеете высшее образование. Владеете английским языком на уровне Upper-Intermediate. Знаете ключевые HR-метрики и методологии их расчета. ', 'responsibility': 'Разрабатывать KPI для оценки деятельности группы по вознаграждениям и льготам. Разрабатывать, синхронизировать и контролировать методологии расчёта HR-метрик. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '153', 'name': 'Менеджер по компенсациям и льготам'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,True,"{'type': 'MAKEUP', 'tariff': None}"
103134392,False,Business Advisor with English,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 250000, 'to': 500000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2024-07-02T13:36:17+0300,2024-07-02T13:36:17+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=103134392,,https://api.hh.ru/vacancies/103134392?host=hh.ru,https://hh.ru/vacancy/103134392,[],"{'id': '10816834', 'name': 'ДК Групп', 'url': 'https://api.hh.ru/employers/10816834', 'alternate_url': 'https://hh.ru/employer/10816834', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10816834', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Strong sales and account management <highlighttext>skills</highlighttext>. Excellent communication and interpersonal <highlighttext>skills</highlighttext> . Strategic thinking and problem-solving abilities. Fluency English language...', 'responsibility': 'Managing and developing customer relationships. Answering customer inquiries based on the products. Maintaining telephone negotiations with warm leads. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '70', 'name': 'Менеджер по продажам, менеджер по работе с клиентами'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,,
103368380,False,Research Officer (Political Economy),,True,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 138138, 'to': None, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Кропоткинский переулок', 'building': '13с1', 'lat': 55.73846, 'lng': 37.591324, 'description': None, 'raw': 'Москва, Кропоткинский переулок, 13с1', 'metro': {'station_name': 'Парк культуры', 'line_name': 'Сокольническая', 'station_id': '1.103', 'line_id': '1', 'lat': 55.736163, 'lng': 37.595027}, 'metro_stations': [{'station_name': 'Парк культуры', 'line_name': 'Сокольническая', 'station_id': '1.103', 'line_id': '1', 'lat': 55.736163, 'lng': 37.595027}, {'station_name': 'Парк культуры', 'line_name': 'Кольцевая', 'station_id': '5.104', 'line_id': '5', 'lat': 55.735221, 'lng': 37.593095}], 'id': '13857863'}",,,2024-07-05T15:02:34+0300,2024-07-05T15:02:34+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=103368380,,https://api.hh.ru/vacancies/103368380?host=hh.ru,https://hh.ru/vacancy/103368380,[],"{'id': '1327266', 'name': 'Посольство Австралии', 'url': 'https://api.hh.ru/employers/1327266', 'alternate_url': 'https://hh.ru/employer/1327266', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=1327266', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Professional-level fluency in English and Russian. Strong written communication <highlighttext>skills</highlighttext> in English, including the ability to organise written material...', 'responsibility': 'Political economy research on issues relevant to bilateral relations between Australia and Russia (or other countries of accreditation), with a...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '10', 'name': 'Аналитик'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,,
103223535,False,Оператор ELD (Логистика),,False,False,"{'id': '2759', 'name': 'Ташкент', 'url': 'https://api.hh.ru/areas/2759'}","{'from': 500, 'to': 600, 'currency': 'USD', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2024-07-03T14:53:06+0300,2024-07-03T14:53:06+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=103223535,,https://api.hh.ru/vacancies/103223535?host=hh.ru,https://hh.ru/vacancy/103223535,[],"{'id': '11217133', 'name': 'DATA DRIVE', 'url': 'https://api.hh.ru/employers/11217133', 'alternate_url': 'https://hh.ru/employer/11217133', 'logo_urls': {'90': 'https://img.hhcdn.ru/employer-logo/6808866.jpeg', 'original': 'https://img.hhcdn.ru/employer-logo-original/1297145.jpg', '240': 'https://img.hhcdn.ru/employer-logo/6808867.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11217133', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Experience: At least 2 months in Safety ELD or Logbook Monitoring. Technical <highlighttext>Skills</highlighttext>: Proficiency in using basic tools and applications...', 'responsibility': 'Comfortable office with new equipment. Punctuality: Employees must arrive on time and adhere to the established work schedule. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,"[{'id': '40', 'name': 'Другое'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}",,False,,,
